job_title,company_name,job_type,location,experience_years,skills
Products Technical Writer,Afaqy -,Hybrid,Maadi,· 3 - 7,[Products Technical Writer] [Experienced] [Writing/Editorial] [IT/Software Development] [Documentation] [Computer Science] [Engineering] [technical writer] [Technical Writing] [product documentation]
Senior Dot Net Core Developer,Xceed Contact Center -,On-site,Maadi,· 5 - 8,[Senior Dot Net Core Developer] [Manager] [IT/Software Development] [Engineering - Telecom/Technology] [C#] [.Net] [.net core] [Dot Net Core] [Computer Science] [Information Technology (IT)] [Software Engineering] [Software]
Odoo implementer,TBM -,On-site,Heliopolis,· 1 - 5,[Odoo implementer] [Experienced] [IT/Software Development] [Implementation] [Odoo Implementer] [Odoo] [ERP] [Information Technology (IT)] [Computer Science]
System Administrator,Pharos University in Alexandria -,On-site,Smouha,· 8 - 12,[System Administrator] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Engineering] [IT] [Information Technology (IT)] [System Administration] [System administrator] [Security] [Vmware]
Oracle Fusion Financial Technical Consultant,Just HR -,On-site,New Cairo,· 6 - 10,[Oracle Fusion Financial Technical Consultant] [Experienced] [Accounting/Finance] [IT/Software Development] [Engineering - Telecom/Technology] [ERP] [Oracle] [Information Technology (IT)] [Computer Science] [Oracle Fusion] [IFRS]
IT Administrator,Femto Trade -,On-site,Dokki,· 0 - 7,[IT Administrator] [Entry Level] [IT/Software Development] [Information Technology (IT)] [IT] [System Administration] [Engineering] [Computer Science]
Senior IT Projects Manager - Developer Background,Confidential -,On-site,Nasr City,· 7 - 20,[Senior IT Projects Manager - Developer Background] [Manager] [IT/Software Development] [Project/Program Management] [Engineering - Telecom/Technology] [Information Technology (IT)] [Project Management] [Communication skills] [Computer Science] [Engineering] [Management] [English]
Sales Consultant,Confidential -,Hybrid,Heliopolis,· 2 - 4,[Sales Consultant] [Experienced] [Business Development] [IT/Software Development] [Sales/Retail] [Sales] [Customer Service] [Sales Target]
International Sales Representatives,One belt One road Trading LLC -,On-site,New Cairo,· 1+,[International Sales Representatives] [Experienced] [Customer Service/Support] [Sales/Retail] [CRM] [Sales Target] [Communication] [International Sales] [sales skills] [Chinese] [Social Media] [Sales]
IT Administration Team Leader,GET Group- Egypt -,On-site,Sheraton,· 5 - 8,[IT Administration Team Leader] [Manager] [IT/Software Development] [Information Technology (IT)] [Computer Science] [IT] [Cisco] [Software Development] [Active Directory] [DNS] [Science] [Security]
Senior Pre-sales Engineer (Software Background),Lumin -,On-site,6th of October,· 5 - 7,[Senior Pre-sales Engineer (Software Background)] [Experienced] [IT/Software Development] [Sales/Retail] [Engineering - Other] [Architecture] [Presales] [sales skills] [Sales Target] [Software] [Communication] [Communication skills]
Project Coordinator,Lumin -,On-site,6th of October,· 2 - 4,[Project Coordinator] [Experienced] [IT/Software Development] [Project/Program Management] [Communication] [English] [Management] [Project Coordination] [Project Management]
PLM Solution Consultant,Promech Engineering -,On-site,Maadi,· 0 - 2,[PLM Solution Consultant] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Information Technology (IT)] [Customer Service] [PLM] [Solutions] [Management]
Senior Electrical Design Engineer,Mashareq -,On-site,Cairo,· 7 - 10,[Senior Electrical Design Engineer] [Experienced] [Engineering - Construction/Civil/Architecture] [Electrical Engineering] [AutoCAD] [Design] [Electrical] [Electrical Design] [Revit] [Engineering]
IT Technical Support,IT Pillars -,On-site,Nasr City,· 2 - 4,[IT Technical Support] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [Software Development] [Technical Support] [IT Support] [Networks] [Customer Service] [Customer Care]
Senior Full Stack Developer (.NET Core/Angular),ENCOODERS TECHNOLOGIES -,On-site,Nasr City,· 5+,[Senior Full Stack Developer (.NET Core/Angular)] [Experienced] [IT/Software Development] [.Net] [Angular] [Full Stack Development] [Software] [Software Development] [ASP.Net]
System Administrator,Pini Group -,On-site,Heliopolis,· 7 - 10,[System Administrator] [Experienced] [IT/Software Development] [Communication] [Computer Science] [Information Technology (IT)] [System Administration] [System administrator] [Networks] [Engineering]
Flutter Developer,Fiddah LLC -,On-site,San Stefano,· 2 - 3,[Flutter Developer] [Experienced] [IT/Software Development] [flutter] [flutter development] [Software Development] [Computer Science] [Development] [Frontend] [OOP] [Information Technology (IT)]
Java Team Lead,Fawry for Banking Technology and Electronic Payments S.A.E -,Hybrid,Giza,· 6 - 8,[Java Team Lead] [Manager] [IT/Software Development] [Operations/Management] [Engineering - Telecom/Technology] [Java] [Management] [Azure] [Java Jee] [ORM] [SQL] [Angular]
Full-Stack .Net Developer,Proactivesoft -,On-site,Smart Village,· 1 - 4,[Full-Stack .Net Developer] [Experienced] [IT/Software Development] [.Net] [Angular] [React] [ASP.Net] [AWS] [Azure]
Principal Full Stack .Net Core,ElDawlya Company -,On-site,Maadi,· 6+,[Principal Full Stack .Net Core] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [MVC] [AJAX] [Software Development] [ERP] [Reporting tools] [CSS] [XML] [Design]
Backend Developer,E-volve Technology Systems -,On-site,Alibrahimiyyah,,[Backend Developer] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Framework] [Laravel] [MySQL] [Software Engineering] [Software Development] [Vue.js] [JavaScript]
IT Helpdesk Engineer,Si-Vision -,On-site,Sheraton,· 2 - 7,[IT Helpdesk Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [CCNA] [Computer Science] [CSS] [Engineering] [HTML] [Information Technology (IT)] [Software Development] [Python]
Software Quality Control Engineer (Manual & Automation),GET Group- Egypt -,Hybrid,Cairo,· 1 - 3,[Software Quality Control Engineer (Manual & Automation)] [Experienced] [IT/Software Development] [Automation] [Computer Science] [Information Technology (IT)] [Quality Control] [Software Automation] [Software Testing] [Software] [quality] [ISTQB]
Senior UI/UX Developer,Lumin -,Hybrid,Sheikh Zayed,· 3 - 5,[Senior UI/UX Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Angular] [Adobe Photoshop] [Bootstrap] [Computer Science] [CSS3] [Design] [HTML5] [Information Technology (IT)]
Odoo Implementer,Ibn Sina Pharma -,On-site,Maadi,· 2 - 5,[Odoo Implementer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [Odoo] [ERP] [Odoo Modules] [Computer Science] [Functional] [inventory] [Business Administration]
.NET Core MVC Software Developer - Immediate Hire*,SalesArm -,Remote,Cairo,· 3 - 5,[.NET Core MVC Software Developer - Immediate Hire*] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [CSS] [JavaScript] [jQuery] [MVC] [Angular] [SQL] [Software Development] [ASP.Net]
Senior .NET Core MVC Software Developer - Immediate Hire*,SalesArm -,Remote,Cairo,· 6 - 8,[Senior .NET Core MVC Software Developer - Immediate Hire*] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [CSS] [JavaScript] [jQuery] [MVC] [Angular] [SQL] [Software Development] [ASP.Net]
Odoo Implementer,National Technology -,On-site,Nasr City,· 1 - 3,[Odoo Implementer] [Entry Level] [Accounting/Finance] [IT/Software Development] [Engineering - Telecom/Technology] [Accounting] [Computer Science] [English] [ERP] [Information Technology (IT)] [Odoo] [Planning]
Flutter Developer,National Technology -,Hybrid,Nasr City,· 1 - 3,[Flutter Developer] [Experienced] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [Android] [Computer Science] [Development] [flutter] [Git] [Information Technology (IT)] [iOS]
Senior Instrument Engineer,Micro Engineering -,On-site,Heliopolis,· 5 - 7,[Senior Instrument Engineer] [Experienced] [Engineering - Mechanical/Electrical] [Computer Engineering] [Engineering] [Communication skills] [Software Development]
Front-End Developer – React js,Glow Star -,On-site,Nasr City,· 4 - 8,[Front-End Developer – React js] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [React] [Angular] [CSS] [Design] [Software Development] [JavaScript] [Information Technology (IT)]
IT network and technical support senior specialist,Human Fraternity  -,On-site,New Cairo,· 3 - 5,[IT network and technical support senior specialist] [Senior Management] [Installation/Maintenance/Repair] [IT/Software Development] [IT] [Information Technology (IT)] [computer] [Technical Support] [network]
Senior PHP Developer (Laravel),Our Education -,On-site,Nasr City,· 3 - 5,[Senior PHP Developer (Laravel)] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [PHP] [Computer Science] [Laravel] [HTML5] [CSS3] [MVC] [Programming] [javaScript]
Senior Software Tester,Our Education -,On-site,Nasr City,· 3 - 5,[Senior Software Tester] [Experienced] [IT/Software Development] [Quality] [Engineering - Telecom/Technology] [Computer Science] [Test Automation] [Engineering] [Information Technology (IT)] [Software Testing] [Quality Control] [Selenium]
Senior Vue Developer,Our Education -,On-site,Nasr City,· 3 - 5,[Senior Vue Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [CSS] [javaScript] [HTML5] [Vue] [CSS3] [React] [SASS]
IT Specialist,EGYTRAFO -,On-site,Badr City,· 2 - 4,[IT Specialist] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Communication] [Communication skills] [Firewall] [Computer Science] [Installation] [network] [LAN]
IT Application Development and Support Engineer,Confidential -,On-site,Sheikh Zayed,· 2 - 3,[IT Application Development and Support Engineer] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [software support engineer] [Application Development] [Software Development] [ERP Applications] [powerschool] [Odoo ERP] [Odoo Development]
IT System Auditor,Confidential -,On-site,Nasr City,· 1 - 5,[IT System Auditor] [Experienced] [IT/Software Development] [auditor] [ISO 27001] [COBIT] [ITIL] [NIST] [Cyber Security] [IT]
Senior Backend Developer,WUZZUF -,Hybrid,Maadi,· 4 - 6,[Senior Backend Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [backend] [Backend developer] [Computer Science] [developer] [Information Technology (IT)] [Software Development] [senior] [Software Engineering]
Junior Devops,Al Soug-Cashi -,On-site,Dokki,· 1 - 3,[Junior Devops] [Entry Level] [R&D/Science] [Business Development] [IT/Software Development] [DevOps] [CD] [CI/CD] [CI] [Software] [Ansible] [AWS]
Senior AX Consultant,Allamna Integrated Solutions -,On-site,Nasr City,· 5 - 8,[Senior AX Consultant] [Manager] [IT/Software Development] [Ax] [Microsoft Dynamics AX] [Dynamics AX] [Microsoft Dynamics] [SQL] [Accounting] [Dynamics2012]
Junior Software Engineer,Al Soug-Cashi -,On-site,Giza,· 1 - 3,[Junior Software Engineer] [Entry Level] [Business Development] [IT/Software Development] [C] [C++] [C#] [Computer Science] [Programming] [Software Development] [Skills]
Application Support Engineer - ITSM/ITOM Solutions,Sanatech Global Solutions  -,On-site,Smouha,· 2 - 4,[Application Support Engineer - ITSM/ITOM Solutions] [Experienced] [IT/Software Development] [CCNA] [Information Technology (IT)] [ITIL] [MySQL] [Linux] [BMC Helix Remedyforce] [ServiceNow] [SolarWinds] [Networking]
Sales Account Executive,Sanatech Global Solutions  -,On-site,Smouha,· 2 - 4,[Sales Account Executive] [Experienced] [Business Development] [IT/Software Development] [Sales/Retail] [CRM] [Communication] [Sales Target] [Sales] [negotiation skills] [Negotiation] [English]
School IT Supervisor,GEMS Education -,On-site,Madinaty,· 1 - 3,[School IT Supervisor] [Experienced] [IT/Software Development] [computer] [IT] [Information Technology (IT)] [Communication skills]
Help desk support (act as 1st line support for users),Confidential -,On-site,6th of October,· 0 - 2,[Help desk support (act as 1st line support for users)] [Entry Level] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Help desk] [Computer Science] [Information Technology (IT)] [Installation] [Linux] [MS Office]
Backend Developer,Confidential -,On-site,Maadi,· 8 - 10,[Backend Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Backend developer] [Software Engineering] [Software Development] [Architecture] [Automation] [backend] [Code Versioning] [computer]
IT Help Desk Specialist,FlexFilms Egypt -,On-site,6th of October,· 0 - 1,[IT Help Desk Specialist] [Entry Level] [IT/Software Development] [computer] [English] [Help desk] [Software] [Information technology] [Information Technology (IT)] [Technology] [Computer Science] [Communication]
Web Developer,Papiro Tours Eg -,On-site,Giza,· 0 - 2,[Web Developer] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [Web Development] [E-Commerce] [Commerce] [Computer Science] [Development] [Information Technology (IT)] [Portfolio] [Software Development]
Data Analyst,United Group Steel -,On-site,10th of Ramadan City,· 1 - 5,[Data Analyst] [Entry Level] [Accounting/Finance] [IT/Software Development] [Analyst/Research] [Data Entry] [Financial Data Analysis] [Data Analysis] [Microsoft Excel] [Financial Accounting] [Business Analysis] [Analysis]
Quality Assurance Specialist,COB Solution  -,On-site,Maadi,· 1 - 5,[Quality Assurance Specialist] [Experienced] [Quality] [English] [Microsoft Excel] [Quality Assurance] [QA] [quality]
Scrum Master,StoreUs  -,On-site,Maadi,· 3 - 5,[Scrum Master] [Manager] [Project/Program Management] [Scrum Master] [Scrum] [Master] [automated testing] [Agile] [agile frameworks] [Project] [Testing] [manager]
Senior Full Stack Developer (Laravel-Vue.js),dar auction -,Hybrid,Nasr City,· 3 - 7,[Senior Full Stack Developer (Laravel-Vue.js)] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Vue.js] [Socket.io] [MySQL] [Laravel] [API] [Nuxt]
Spa Manager,Bioskin Spa -,On-site,Sheikh Zayed,· 8 - 20,[Spa Manager] [Manager] [Administration] [Operations/Management] [Medical/Healthcare] [Admin] [Administration] [computer] [Office management] [SPA] [Spa Management] [wellness]
Project Coordinator,Al Ahly Momkn for e-payment -,On-site,Maadi,· 0 - 1,[Project Coordinator] [Entry Level] [Administration] [IT/Software Development] [Project/Program Management] [Administration] [Agile] [Project coordinator] [PMP] [Microsoft Office] [Business Administration] [Project Management]
Production Engineer - Electronics,Medical Engineering Group -,On-site,Obour City,· 3 - 5,[Production Engineer - Electronics] [Experienced] [Manufacturing/Production] [Engineering - Other] [Production Engineering] [Electronics] [excel] [Manufacturing] [English] [CAD] [Mechanical Engineering] [Mechanical]
IT Manager,StoreUs  -,On-site,Maadi,· 5 - 7,[IT Manager] [Manager] [IT/Software Development] [Information Technology (IT)] [Scrum] [Computer Engineering] [Software] [Software Development] [Computer Science]
Assistant Business Intelligence Manager,SAVOLA -,On-site,Nasr City,· 2 - 4,[Assistant Business Intelligence Manager] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [FMCG] [Database] [BI] [Business Intelligence] [Sales] [BackOffice] [HH] [Information Technology (IT)]
Oracle ADF Developer,Egabi FSI -,On-site,Sheraton,· 3 - 3,[Oracle ADF Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [ADF] [Computer Science] [Engineering] [Information Technology (IT)] [Java] [OOP] [Oracle] [REST]
Senior Java Developer,Egabi FSI -,On-site,Sheraton,· 4+,[Senior Java Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Engineering] [Git] [Information Technology (IT)] [Java] [OOP] [Software] [Computer Science] [Software Engineering]
Senior Oracle Forms & Reports Developer,Egabi FSI -,On-site,Sheraton,· 3+,[Senior Oracle Forms & Reports Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Oracle Forms] [Oracle] [Oracle PL/SQL] [PL/SQL] [SQL] [Java] [PL] [Information Technology (IT)]
Oracle Database Administrator,Egabi FSI -,On-site,Sheraton,· 5+,[Oracle Database Administrator] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Administration] [Computer Science] [database administration] [Database] [Information Technology (IT)] [Oracle] [OCP] [OCA]
Frontend Developer,Erada -,On-site,Maadi,· 2 - 3,[Frontend Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [HTML5] [HTML] [Information Technology (IT)] [Computer Science] [CSS3] [CSS]
Java Spring Backend Developer,MeetusAR -,On-site,Nasr City,· 2 - 5,[Java Spring Backend Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Java SE] [Java] [Java EE] [Software Development] [Spring] [Spring Boot] [Frameworks]
Digital Marketing Spechialist / Expert,Webbingstone -,Hybrid,6th of October,· 2 - 4,[Digital Marketing Spechialist / Expert] [Entry Level] [IT/Software Development] [Marketing/PR/Advertising] [Digital Marketing] [digital marketing] [E-Marketing] [English] [Social Media] [Marketing] [social] [media]
Software and Digital Marketing Sales Executive,Webbingstone -,Hybrid,6th of October,· 1 - 2,[Software and Digital Marketing Sales Executive] [Entry Level] [IT/Software Development] [Marketing/PR/Advertising] [Sales] [sales skills] [Software] [Executive] [Digital Marketing Sales] [Sales Executive] [Communication skills]
Java Developer,Citylogix ME -,On-site,New Cairo,· 6 - 10,[Java Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Back End] [JavaScript] [Java] [Computer Science] [Spring Boot] [PostgreSQL] [SQL] [RESTful APIs]
System Administrator,PICO -,On-site,Zamalek,· 2 - 3,[System Administrator] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [Engineering] [Communication] [System Administration] [Networks]
Sales Admin,FGD -,On-site,Cairo,· 1 - 3,[Sales Admin] [Entry Level] [Sales/Retail] [Sales] [Real Estate] [CRM] [media] [Marketing] [Social Media] [Communication skills] [Software] [MS Office]
Frontend Developer,Confidential -,On-site,New Cairo,· 2 - 3,[Frontend Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [HTML5] [CSS3] [Information Technology (IT)] [UX] [UI] [Software Engineering] [Software Development]
Senior PHP Web Developer,Arabia for Information Technology -,Hybrid,Cairo,· 5+,[Senior PHP Web Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [PHP] [Web Development] [Computer Engineering] [Computer Science] [Software Development] [Web Application Design] [Laravel] [PHP Development]
DevOps Engineer,Bright Creations -,Hybrid,Smart Village,· 2+,[DevOps Engineer] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [Software Development] [React] [Computer Science] [Information Technology (IT)] [DevOps] [Jenkins]
IT Specialist,KIT Consulting -,On-site,Giza,· 3 - 5,[IT Specialist] [Experienced] [IT/Software Development] [Information Technology (IT)] [Information technology] [IT] [ITIL] [technical] [Technical Support] [Communication] [Computer Science] [Computer Engineering]
Senior Front End Developer,Safa Soft -,Hybrid,Maadi,· 4 - 7,[Senior Front End Developer] [Experienced] [IT/Software Development] [Design] [JavaScript] [Computer Science] [front-end] [Angular] [React] [AngularJS] [Agile] [JSON]
Technical Support Specialist,Talaat Moustafa Group -,On-site,Dokki,· 3 - 5,[Technical Support Specialist] [Experienced] [Customer Service/Support] [IT/Software Development] [Engineering - Telecom/Technology] [MCSE] [CCNA]
Full Stack (Asp .Net Core/Angular Developer),qTech.  -,On-site,Mansoura,· 1 - 4,[Full Stack (Asp .Net Core/Angular Developer)] [Experienced] [IT/Software Development] [.net core] [.Net] [ASP] [ASP.Net] [Angular]
Senior System Analyst,Nahdet Misr Publishing Group -,On-site,Mohandessin,· 5 - 7,[Senior System Analyst] [Experienced] [IT/Software Development] [Analyst/Research] [Engineering - Telecom/Technology] [Analyst] [Business Analysis] [Computer Science] [Information Technology (IT)] [Software] [System Analysis] [Programming]
Senior System Administrator,Al Safy -,On-site,New Cairo,· 4 - 7,[Senior System Administrator] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Communication] [computer] [Computer Science] [Engineering] [Information Technology (IT)] [LAN] [Management]
Business Development Executive - Mawared Software Solutions,Arabic Localizer -,Hybrid,Mohandessin,· 1 - 3,[Business Development Executive - Mawared Software Solutions] [Experienced] [Business Development] [IT/Software Development] [Sales/Retail] [Account Management] [Business Development] [Communication] [Communication skills] [Customer Service] [English] [Management]
Senior Software Tester,qTech.  -,On-site,Mansoura,· 3+,[Senior Software Tester] [Experienced] [IT/Software Development] [Quality] [Engineering - Telecom/Technology] [Engineering] [Project Management] [Information Systems] [Information Technology (IT)] [Computer Science] [Computer Engineering] [Software]
Senior UI/UX Designer,qTech.  -,On-site,Mansoura,· 3+,[Senior UI/UX Designer] [Experienced] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [UI/UX] [UI/UX Design] [Design] [UI Design] [Photoshop] [Information Technology (IT)] [Computer Science]
Senior Product Owner,qTech.  -,On-site,New Nozha,· 3+,[Senior Product Owner] [Experienced] [IT/Software Development] [Project/Program Management] [Engineering - Telecom/Technology] [analytical] [Communication] [Agile] [Information Systems] [Information Technology (IT)] [Communication skills] [Computer Science]
Senior Front End Developer,qTech.  -,On-site,New Nozha,· 3+,[Senior Front End Developer] [Experienced] [IT/Software Development] [Angular] [JavaScript] [React] [Software Development] [front-end] [Frontend]
Software Quality Control Engineer,Expert Apps -,Hybrid,Maadi,· 1 - 3,[Software Quality Control Engineer] [Entry Level] [IT/Software Development] [Quality] [Engineering - Telecom/Technology] [Quality Assurance] [Performance Testing] [Performance] [Automation Testing] [Integration] [Functional Testing] [Testing]
Senior Projects Coordinator,Ibn Sina Pharma -,On-site,New Cairo,· 2 - 4,[Senior Projects Coordinator] [Experienced] [IT/Software Development] [Project/Program Management] [Computer Science] [Engineering] [Project Management] [Information Technology (IT)] [Agile] [ERP] [IT] [Management]
Senior Project Coordinator,ZINAD IT -,Hybrid,6th of October,· 3 - 5,[Senior Project Coordinator] [Experienced] [Administration] [IT/Software Development] [Project/Program Management] [Business Administration] [Communication] [Information Technology (IT)] [Project coordinator] [Project Management] [Project] [Power BI]
Senior Software Sales Specialist,webSTDY -,On-site,Mohandessin,· 3 - 10,[Senior Software Sales Specialist] [Experienced] [IT/Software Development] [Sales/Retail] [Engineering - Telecom/Technology] [Information Technology (IT)] [Sales] [sales skills] [Sales Specialist] [Sales Target] [Software] [Software Sales]
Angular Frontend Developer,Mirrorful -,Hybrid,New Cairo,· 3 - 5,[Angular Frontend Developer] [Experienced] [IT/Software Development] [Angular] [Software Development] [Information Technology (IT)] [JavaScript]
UI Designer,Mirrorful -,Hybrid,New Cairo,· 1 - 3,[UI Designer] [Experienced] [IT/Software Development] [Design] [UI] [Visual Design] [Wire-framing] [Agile] [Figma] [Portfolio]
Android Developer,Mirrorful -,Hybrid,New Cairo,· 3 - 6,[Android Developer] [Experienced] [IT/Software Development] [Android] [Kotlin] [C++] [Android HAL] [NDK] [Android SDK] [Git] [Information Technology (IT)] [Programming]
Business Applications Supervisor,SAVOLA -,On-site,Nasr City,· 1 - 3,[Business Applications Supervisor] [Experienced] [IT/Software Development] [EBS] [Computer Science] [Information Technology (IT)] [Oracle] [business application] [Implementation]
IOS App Developer,Syad Tech -,Remote,Cairo,· 3+,[IOS App Developer] [Experienced] [IT/Software Development] [Development] [Computer Science] [Information Technology (IT)] [Engineering] [iOS] [Mobile Development] [Native] [Software Development] [Swift]
Database Administrator,Confidential -,Remote,Cairo,· 10 - 20,[Database Administrator] [Experienced] [Administration] [IT/Software Development] [PostgreSQL] [Performance Tuning] [Database Administrator] [Database] [Computer Science] [Database Design] [Design] [Information Technology (IT)]
Web Developer,Union Group -,On-site,Obour City,· 3 - 5,[Web Developer] [Experienced] [IT/Software Development] [Software Development] [Computer Science] [HTML] [Information Technology (IT)] [jQuery] [JSON] [SQL] [Web Development]
Construction Technical Office Engineer,Eleven Eleven Property Management -,On-site,New Cairo,· 3 - 5,[Construction Technical Office Engineer] [Experienced] [Engineering - Construction/Civil/Architecture] [Construction] [Communication] [Management] [3D] [AutoCAD] [Civil] [Civil Engineering] [Design] [Engineering]
Senior Site Engineer,Eleven Eleven Property Management -,On-site,New Cairo,· 3 - 5,[Senior Site Engineer] [Experienced] [Engineering - Construction/Civil/Architecture] [Civil Engineering] [Construction] [Communication] [Site] [AutoCAD] [Civil] [Computer Science] [Design] [Engineering]
Technology Operations Engineer,Khales -,On-site,Giza,· 3 - 5,[Technology Operations Engineer] [Entry Level] [R&D/Science] [IT/Software Development] [Engineering - Telecom/Technology] [Operations Support] [APIs] [SQL Server] [JAVAscript] [Computer Science] [English] [Information Technology (IT)]
Operations Engineer,Talaat Moustafa Group -,On-site,Dokki,· 0 - 3,[Operations Engineer] [Entry Level] [IT/Software Development] [Operations/Management] [Engineering - Telecom/Technology] [Computer Science] [Engineering] [Information Technology (IT)] [Troubleshooting] [Infrastructure] [Networking] [Operations]
MS365 Senior Engineer,B-Link Technologies -,Remote,Cairo,· 3 - 5,[MS365 Senior Engineer] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Engineering] [English] [Information Technology (IT)]
Application Developer,Penta 3d -,On-site,Maadi,· 0 - 3,[Application Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [English] [Development] [Java] [Information Technology (IT)] [Communication skills] [Software Development] [Software Engineering]
Senior Tendering Engineer,A-Squared -,On-site,New Cairo,· 5 - 8,[Senior Tendering Engineer] [Experienced] [Engineering - Construction/Civil/Architecture] [Creative/Design/Art] [Tendering] [Commercial Engineer] [architectural] [Architectural Engineering] [AutoCAD] [Civil] [Computer Science] [Construction]
Sr. Account Manager,Procrew -,On-site,San Stefano,· 1 - 3,[Sr. Account Manager] [Experienced] [IT/Software Development] [Administration] [Account Management] [Business Administration] [Communication] [Sales]
Account Manager,ITSP Group -,On-site,Haram,· 1 - 3,[Account Manager] [Entry Level] [IT/Software Development] [Sales/Retail] [Communication skills] [Sales] [Accounting] [Business Administration] [Customer Service] [English] [Management] [Negotiation]
Customer Success Specialist,Confidential -,Remote,Cairo,· 1 - 5,[Customer Success Specialist] [Experienced] [Customer Service/Support] [IT/Software Development] [Operations/Management] [Customer Success] [SaaS] [Technical Support] [Information Technology (IT)]
Backend Developer,nichepharma -,Remote,Sheikh Zayed,· 0 - 1,[Backend Developer] [Student] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [back-end] [MongoDB] [Software Development] [RESTful] [JavaScript]
Front End Developer,nichepharma -,Remote,Sheikh Zayed,· 0 - 1,[Front End Developer] [Student] [IT/Software Development] [Engineering - Telecom/Technology] [Bootstrap] [Angular] [Computer Science] [CSS3] [front-end] [Git] [HTML5] [JavaScript]
Flutter Developer,nichepharma -,Remote,Sheikh Zayed,· 0 - 1,[Flutter Developer] [Student] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Design] [Design Patterns] [Cross-platform] [OOP] [Software Architectures] [Software Development] [flutter]
Senior Quality Assurance Engineer,FirstTech    -,Hybrid,Nasr City,· 5 - 8,[Senior Quality Assurance Engineer] [Experienced] [IT/Software Development] [Quality] [Software Development] [Software Engineering] [Quality Control] [Quality Assurance] [Testing]
IT Specialist,ELKHIAL Automotive -,On-site,Tanta,· 2 - 4,[IT Specialist] [Experienced] [IT/Software Development] [Information Technology (IT)] [IT] [network] [Software] [Technical Support] [Configuration] [computer]
Vodafone Egypt - Customer Service Representative - English Speaker,_VOIS Egypt -,On-site,Maadi,· 0 - 5,[Vodafone Egypt - Customer Service Representative - English Speaker] [Entry Level] [Customer Service/Support] [IT/Software Development] [Communication] [CRM] [CRM Systems] [Customer] [Customer Care] [Customer Support] [Customer Service] [Help desk]
Technical Support,Giza Power Industry -,On-site,Abu Rawash,· 0 - 2,[Technical Support] [Entry Level] [Installation/Maintenance/Repair] [IT/Software Development] [Computer Systems] [Information Technology (IT)]
Business Applications Associate Analyst,Elaraby Group -,Hybrid,Ashmun,· 0 - 2,[Business Applications Associate Analyst] [Entry Level] [IT/Software Development] [Other] [Information Technology (IT)] [Software Development] [Business Analysis] [SQL] [JavaScript] [Computer Science] [Engineering]
